"No.","Time","Source","Destination","Protocol","Length","Info"
"8","6.373766","172.18.0.5","172.18.0.2","SSHv2","109","Client: Protocol (SSH-2.0-OpenSSH_7.7p1 Ubuntu-4ubuntu0.3)"
"10","6.380385","172.18.0.2","172.18.0.5","SSHv2","109","Server: Protocol (SSH-2.0-OpenSSH_8.3p1 Ubuntu-1ubuntu0.1)"
"12","6.380601","172.18.0.5","172.18.0.2","SSHv2","1428","Client: Key Exchange Init"
"13","6.381382","172.18.0.2","172.18.0.5","SSHv2","1124","Server: Key Exchange Init"
"14","6.383144","172.18.0.5","172.18.0.2","SSHv2","116","Client: Elliptic Curve Diffie-Hellman Key Exchange Init"
"15","6.386733","172.18.0.2","172.18.0.5","SSHv2","576","Server: Elliptic Curve Diffie-Hellman Key Exchange Reply, New Keys"
