"No.","Time","Source","Destination","Protocol","Length","Info"
"8","7.594809","172.18.0.4","172.18.0.2","SSHv2","109","Client: Protocol (SSH-2.0-OpenSSH_7.3p1 Ubuntu-1ubuntu0.1)"
"10","7.601498","172.18.0.2","172.18.0.4","SSHv2","109","Server: Protocol (SSH-2.0-OpenSSH_8.3p1 Ubuntu-1ubuntu0.1)"
"12","7.601747","172.18.0.4","172.18.0.2","SSHv2","1500","Client: Key Exchange Init"
"13","7.602538","172.18.0.2","172.18.0.4","SSHv2","1124","Server: Key Exchange Init"
"14","7.604174","172.18.0.4","172.18.0.2","SSHv2","116","Client: Elliptic Curve Diffie-Hellman Key Exchange Init"
"15","7.607659","172.18.0.2","172.18.0.4","SSHv2","576","Server: Elliptic Curve Diffie-Hellman Key Exchange Reply, New Keys"
